ticker,section_type,claim_text,confidence,source_label,source_url
005930,profile,삼성전자는 메모리 반도체(DRAM/NAND/HBM)·시스템LSI·파운드리·MX(스마트폰)·VD/DA(가전)·디스플레이를 영위하는 한국 대표 IT 기업이다.,0.97,Curated,
005930,profile,"전사 매출은 반도체(DS) 부문과 디바이스 경험(DX) 부문으로 양분되며, 수익성은 메모리 사이클에 가장 크게 좌우된다.",0.95,Curated,
005930,business,"DS 부문은 DRAM(DDR5·LPDDR5X·HBM3E·HBM4), NAND, SSD를 양산하고 시스템LSI는 모바일 AP·이미지센서, 파운드리는 3nm GAA 공정을 운영한다.",0.93,Curated,
005930,business,"DX 부문은 갤럭시 S/Z 시리즈 스마트폰(MX), QLED·OLED TV, 생활가전(VD/DA)을 포함하며 글로벌 판매망이 매출 변동성을 흡수한다.",0.9,Curated,
005930,business,HBM 주요 고객은 엔비디아·AMD 등 AI 가속기 업체이며 HBM3E 12단·HBM4 양산 진입 시점이 점유율 회복의 분수령이다.,0.9,Curated,
005930,finance,"2025년 연결 매출은 333.6조원, 영업이익은 43.6조원, 순이익은 45.2조원이다.",0.99,Samsung 2025 4Q IR,https://images.samsung.com/kdp/ir/events/2025/2025_4Q_conference_kor.pdf
005930,finance,"2025년 4분기 매출은 76.3조원, 영업이익은 2.9조원이다.",0.95,Samsung 2025 4Q IR,https://images.samsung.com/kdp/ir/events/2025/2025_4Q_conference_kor.pdf
005930,finance,2025년 연구개발비는 37.7조원으로 연간 최대 수준이다.,0.95,Samsung Newsroom,https://news.samsung.com/kr/%ec%82%bc%ec%84%b1%ec%a0%84%ec%9e%90-2025%eb%85%84-4%eb%b6%84%ea%b8%b0-%ec%8b%a4%ec%a0%81-%eb%b0%9c%ed%91%9c
005930,finance,DS(반도체) 부문은 메모리 사이클 회복과 HBM 점유율 변화가 영업이익 변동성의 핵심 동인이다.,0.88,Curated,
005930,finance,"환율(USD/KRW), DRAM·NAND 고정거래가, 스마트폰 출하 단가가 분기 이익 민감도 변수로 거론된다.",0.85,Curated,
005930,relations,"메모리 경쟁사로 SK하이닉스·마이크론, 파운드리 경쟁사로 TSMC가 거론되며 HBM 핵심 고객은 엔비디아다.",0.92,Curated,
005930,relations,"패키징·후공정에서 한미반도체·하나마이크론, 장비에서 ASML·램리서치·어플라이드머티리얼즈가 주요 파트너다.",0.85,Curated,
005930,theme,"삼성전자는 반도체, HBM, 파운드리, AI 가속기, 메모리 사이클, 스마트폰, 디스플레이 테마에 묶인다.",0.93,Curated,
000660,profile,"SK하이닉스는 DRAM·NAND·HBM을 중심으로 한 메모리 반도체 전문 기업으로, 글로벌 HBM 1위 점유율을 보유한다.",0.96,Curated,
000660,profile,"AI 가속기향 HBM3E 12단 공급과 HBM4 양산 일정이 실적 가시성의 핵심이며, NAND는 Solidigm을 통해 기업용 SSD 라인업을 강화한다.",0.92,Curated,
000660,business,"제품 포트폴리오는 DRAM(DDR5·LPDDR5X·HBM3E·HBM4)과 NAND·SSD(자회사 Solidigm 포함)로 구성되며, HBM은 엔비디아·AMD·구글 등 AI 가속기 고객에게 공급된다.",0.93,Curated,
000660,business,청주·이천 D램·낸드 라인을 운영하며 미국 인디애나주에 첨단 패키징(HBM 후공정) 거점을 신설 중이다.,0.88,Curated,
000660,finance,"2025년 연결 매출은 97조1,467억원, 영업이익은 47조2,063억원, 순이익은 42조9,479억원이다.",0.99,SK hynix 2025 4Q,https://news.skhynix.co.kr/sk-hynix-2025-fourth-quarter-earnings-results/
000660,finance,2025년 영업이익률은 약 48.6%로 HBM과 고부가 DRAM 믹스 개선 영향이 크다.,0.95,SK hynix 2025 4Q,https://news.skhynix.co.kr/sk-hynix-2025-fourth-quarter-earnings-results/
000660,finance,"2025년 4분기 매출은 32조8,267억원, 영업이익은 19조1,696억원, 순이익은 15조2,460억원이다.",0.95,SK hynix 2025 4Q,https://news.skhynix.co.kr/sk-hynix-2025-fourth-quarter-earnings-results/
000660,finance,HBM 비중 확대로 메모리 ASP가 상승했고 2025년 EBITDA 마진은 50%대로 추정된다.,0.85,Curated,
